id,date_recorded,funder,gps_height,installer,longitude,latitude,region_code,district_code,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity,source_type,waterpoint_type
51359,2013-01-19,Jica,-5,DWE,39.56082776,-9.13206159,80,13,530,True,VWC,False,2002,submersible,user-group,unknown,good,unknown,borehole,communal standpipe multiple
15962,2011-08-01,Hesawa,0,Hesawa,0.0,-2e-08,19,6,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,other,user-group,unknown,unknown,dry,borehole,other
17853,2011-08-07,Hesawa,1226,DWE,33.06230846,-1.82664599,19,1,1200,True,VWC,True,1999,gravity,user-group,never pay,good,insufficient,spring,improved spring
42040,2013-03-30,Government Of Tanzania,1387,Government,37.55433946,-3.28942377,3,4,1,True,WUA,True,1970,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
72243,2013-02-12,Danida,805,DANIDA,35.99024647,-10.53404797,10,5,250,True,WUG,False,1990,handpump,user-group,on failure,good,enough,shallow well,hand pump
63653,2013-03-28,World Bank,1544,DWE,36.61868919,-3.29203785,2,2,200,True,VWC,True,2004,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
26510,2012-10-13,World Vision,0,World vision,33.77914543,-3.32682925,17,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,WUG,False,0,handpump,user-group,other,good,enough,shallow well,hand pump
72053,2011-08-01,Concern,0,TWESA,30.50096464,-2.59036242,18,30,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,0,gravity,user-group,never pay,good,insufficient,spring,other
29351,2012-10-19,People Of Japan,1369,Grobal resource alliance,34.25333419,-1.20066603,20,6,560,True,VWC,True,2011,handpump,user-group,monthly,good,enough,shallow well,hand pump
51897,2013-01-29,Government Of Tanzania,1584,DWE,34.85944848,-4.97090922,13,2,1,True,VWC,True,1990,other,user-group,unknown,unknown,dry,shallow well,other
20376,2011-03-04,Danida,1609,DWE,35.10908924,-8.18809279,11,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,handpump,user-group,annually,good,enough,borehole,hand pump
26804,2011-03-23,Solidarm,334,DWE,36.50348726,-8.55105463,5,4,230,True,VWC,True,2010,handpump,user-group,monthly,good,enough,shallow well,hand pump
67303,2013-03-19,Government Of Tanzania,1070,DWE,36.80143513,-3.45135176,2,2,150,True,VWC,True,1988,gravity,user-group,never pay,good,enough,spring,other
69780,2013-02-18,Government Of Tanzania,1286,District council,37.62786033,-3.13469202,3,1,1,True,Company,True,1962,gravity,commercial,monthly,good,insufficient,spring,communal standpipe
45374,2013-02-16,Dwsp,0,DWE,0.0,-2e-08,17,1,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,WUG,False,0,handpump,user-group,unknown,good,enough,shallow well,hand pump
54665,2013-03-17,Germany Republi,1624,CES,37.22900273,-3.18441406,3,5,1,True,Water Board,True,2008,gravity,user-group,per bucket,good,enough,spring,communal standpipe
39341,2013-02-11,Government Of Tanzania,1282,Government,30.12795597,-4.24867926,16,2,950,True,Water authority,False,1978,submersible,user-group,other,good,enough,borehole,communal standpipe multiple
8869,2013-02-03,Danida,462,DANIDA,37.45782761,-11.20866259,10,1,1,True,VWC,False,1986,gravity,user-group,monthly,good,enough,river/lake,communal standpipe
20691,2011-04-08,Kkkt,0,KKKT,33.16618409,-8.942157,12,6,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,0,handpump,user-group,on failure,good,insufficient,shallow well,hand pump
19693,2013-02-19,Adra,1571,Adra,35.52646919,-4.48085439,21,2,221,True,VWC,True,2008,gravity,user-group,never pay,good,dry,spring,communal standpipe
14321,2011-08-20,Rudep,1546,DWE,31.9968789,-8.80386259,15,2,50,True,VWC,False,1985,handpump,user-group,never pay,good,enough,borehole,hand pump
63059,2013-02-08,Government Of Tanzania,0,Government,33.51920554,-3.13524663,17,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,WUG,False,0,gravity,user-group,per bucket,good,insufficient,borehole,communal standpipe multiple
67403,2011-03-05,Government Of Tanzania,-7,DWE,39.05964828,-5.28936932,4,3,25,True,VWC,False,2009,gravity,user-group,never pay,good,insufficient,borehole,communal standpipe multiple
28912,2013-03-21,Germany Republi,1133,CES,37.22600343,-3.27103862,3,5,125,True,Water Board,True,2008,gravity,user-group,per bucket,good,enough,spring,communal standpipe
12549,2011-03-10,World Bank,0,Gove,35.56741628,-6.33698054,1,6,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,motorpump,user-group,per bucket,good,enough,borehole,communal standpipe
24328,2013-03-06,Government Of Tanzania,900,Central govt,37.59031748,-3.7304578,3,2,80,True,Water Board,True,1972,gravity,user-group,monthly,good,insufficient,spring,other
13750,2012-10-28,Water Aid /sema,0,Water aid /sema,32.0400396,-4.99156819,14,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,handpump,user-group,never pay,good,enough,shallow well,hand pump
1574,2011-03-23,Government Of Tanzania,1237,DWE,38.46742948,-4.8647269,4,1,1,True,VWC,True,1969,gravity,user-group,never pay,good,enough,spring,communal standpipe
44149,2011-07-08,Hesawa,0,DWE,31.36783688,-1.06107072,18,7,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,handpump,user-group,never pay,good,insufficient,shallow well,hand pump
53917,2011-07-10,Hesawa,0,DWE,31.12892305,-1.69420356,18,1,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,WUA,True,0,gravity,user-group,annually,good,enough,spring,communal standpipe
22705,2013-06-03,Government Of Tanzania,1388,Community,36.88065592,-3.31430939,2,7,98,True,VWC,True,2007,gravity,user-group,unknown,good,insufficient,spring,communal standpipe
66465,2012-10-25,Rural Water Supply And Sanitat,0,DWE,32.05069828,-3.41259554,17,5,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,Parastatal,True,0,gravity,parastatal,unknown,good,seasonal,rainwater harvesting,communal standpipe
15644,2011-07-26,Tasaf,0,DWE,31.83376051,-1.11325712,18,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,never pay,good,insufficient,rainwater harvesting,communal standpipe
20773,2011-03-30,Government Of Tanzania,0,Centr,35.82452906,-5.30269309,1,1,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,0,motorpump,user-group,never pay,good,enough,borehole,communal standpipe
33092,2011-03-22,Rc,774,RC,36.96288481,-7.59517464,5,1,300,True,Other,True,0,gravity,other,never pay,good,enough,spring,communal standpipe
54392,2013-02-15,Professor Ben Ohio University,677,District Council,37.47908238,-3.81858443,3,2,320,True,Private operator,False,2012,motorpump,commercial,annually,unknown,enough,dam,communal standpipe
37850,2011-03-20,Kibaha Town Council,105,DWE,38.90647215,-6.74295268,6,2,1,True,Water authority,True,2010,motorpump,user-group,per bucket,good,enough,river/lake,communal standpipe multiple
5576,2011-02-14,Idydc,1764,IDYDC,35.77193117,-8.02782346,11,7,1,True,VWC,True,2008,handpump,user-group,never pay,good,enough,borehole,hand pump
60840,2013-02-13,Ministry Of Water,1182,DWE,35.87050076,-4.13979616,21,1,72,True,VWC,True,1998,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
9971,2011-07-16,Government Of Tanzania,1116,DWE,31.24387308,-6.37911714,15,1,70,False,Water authority,True,1972,gravity,commercial,never pay,good,enough,spring,communal standpipe
57508,2011-03-16,Ki,875,Ki,36.64437721,-6.81836802,5,1,350,True,VWC,True,1996,handpump,user-group,on failure,good,insufficient,shallow well,hand pump
25872,2012-10-18,World Vision,0,Consuting Engineer,32.99693009,-4.19322784,14,1,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",False,VWC,False,0,handpump,user-group,never pay,good,enough,shallow well,hand pump
43978,2011-03-19,Government Of Tanzania,2116,Commu,33.98504961,-8.9881064,11,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,1974,gravity,user-group,on failure,good,enough,spring,communal standpipe
38181,2011-03-12,Government Of Tanzania,2576,Commu,33.91513217,-9.19113626,11,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,1986,gravity,user-group,on failure,good,enough,spring,communal standpipe
24325,2011-03-14,African,344,Kuwait,37.61832784,-6.13357212,5,6,20,True,VWC,True,2006,other,user-group,never pay,good,enough,shallow well,hand pump
2724,2011-07-12,Hesawa,0,HESAWA,31.53064308,-1.52024104,18,2,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,never pay,good,insufficient,river/lake,communal standpipe
34794,2011-07-22,Government Of Tanzania,1006,DWE,31.14227776,-6.61124387,15,1,50,False,Water authority,True,1978,gravity,commercial,never pay,good,enough,spring,communal standpipe
56525,2012-10-03,Adp,0,WEDECO,32.76916953,-3.90293977,17,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,per bucket,good,enough,spring,communal standpipe multiple
63155,2011-07-29,Si,0,SI,31.6075471,-1.76796453,18,3,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,submersible,user-group,never pay,good,enough,spring,communal standpipe
67247,2011-03-01,France,1633,LVA Ltd,37.57594115,-7.08503792,5,6,60,True,VWC,True,2004,gravity,user-group,per bucket,good,enough,river/lake,communal standpipe
23387,2013-01-26,Government Of Tanzania,24,DWE,38.91481877,-8.78594686,80,13,390,True,VWC,True,2011,handpump,user-group,never pay,good,enough,shallow well,hand pump
17873,2012-10-19,Government Of Tanzania,0,DWE,32.30554915,-3.50805245,17,5,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,False,0,other,unknown,unknown,unknown,unknown,other,hand pump
18197,2011-06-03,Kkkt,1569,Villagers,34.97643178,-8.82935561,11,4,40,True,VWC,False,2009,handpump,user-group,never pay,good,enough,borehole,hand pump
24834,2013-02-16,Kadp,1610,KADP,30.03071578,-4.43392653,16,2,650,True,Water authority,True,1999,gravity,user-group,monthly,good,enough,spring,communal standpipe
4091,2011-03-08,Government Of Tanzania,1504,DWE,38.24442402,-4.4588915,4,1,1,True,VWC,True,1971,gravity,user-group,monthly,good,enough,spring,communal standpipe
33261,2011-04-18,Government Of Tanzania,0,DWE,33.81466822,-9.26881883,12,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,unknown,good,unknown,spring,communal standpipe
44384,2013-02-07,Village Council/ Haydom Luther,1721,Village Council,35.02234242,-4.18404892,21,3,192,True,VWC,True,1994,submersible,user-group,per bucket,good,enough,borehole,communal standpipe
62096,2012-12-10,Tdft,0,TDFT,32.94718642,-4.99483567,14,6,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",False,VWC,True,0,other,user-group,never pay,good,dry,shallow well,other
64554,2013-03-15,0,78,0,39.08342696,-7.0035038,7,2,250,True,Private operator,False,2010,submersible,commercial,per bucket,good,enough,borehole,communal standpipe
68314,2011-03-01,Danida,1620,DANID,35.56771838,-7.94158325,11,1,1,True,VWC,True,1982,gravity,user-group,monthly,good,enough,spring,communal standpipe
53,2013-04-04,Government Of Tanzania,1414,DWE,36.67432678,-3.35742512,2,2,200,True,VWC,True,2000,gravity,user-group,per bucket,good,insufficient,spring,communal standpipe
23426,2011-04-04,Government Of Tanzania,0,DWE,33.91187132,-9.34663784,12,4,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0         321
1         300
2         500
3         250
4          60
         ... 
14845      20
14846    2960
14847     200
14848     150
14849      40
Name: population, Length: 9397, dtype: int64>",True,VWC,True,0,gravity,user-group,never pay,good,enough,spring,communal standpipe
